step	bond_idx	atom_i	atom_j	S(t)
1000	1300	1324	1323	0.9743
1000	1374	20	19	0.9743
1000	1379	370	371	0.9743
1000	1398	872	860	0.9743
1000	1413	793	802	0.9743
1000	1445	1491	1492	0.9743
1000	1466	1282	1272	0.9743
1000	1468	711	572	0.9743
1000	1506	372	371	0.9743
1000	1510	21	162	0.9743
1000	1523	1050	923	0.9743
1000	1624	1174	1173	0.9743
1000	1635	1782	1655	0.9743
1000	1681	567	555	0.9743
1000	1731	1705	1589	0.9743
1000	1850	679	678	0.9743
2000	1338	965	964	0.9518
2000	1388	423	432	0.9518
2000	1495	564	429	0.9518
2000	1501	1542	1550	0.9518
2000	1502	1542	1541	0.9518
2000	1516	641	652	0.9518
2000	1521	1050	1176	0.9518
2000	1630	1582	1593	0.9518
2000	1655	1530	1531	0.9518
2000	1685	1290	1291	0.9518
2000	1695	204	203	0.9518
2000	1766	1487	1488	0.9518
2000	1865	1818	1817	0.9518
2000	1873	763	633	0.9518
3000	1305	266	107	0.9309
3000	1369	157	319	0.9309
3000	1383	516	371	0.9309
3000	1497	414	428	0.9309
3000	1512	435	428	0.9309
3000	1519	911	912	0.9309
3000	1568	876	998	0.9309
3000	1575	126	127	0.9309
3000	1650	1347	1346	0.9309
3000	1652	1358	1359	0.9309
3000	1734	845	725	0.9309
3000	1803	762	767	0.9309
3000	1875	609	744	0.9309
4000	1331	904	905	0.9116
4000	1368	296	285	0.9116
4000	1417	666	656	0.9116
4000	1427	1413	1262	0.9116
4000	1436	91	80	0.9116
4000	1574	126	115	0.9116
4000	1629	1559	1548	0.9116
4000	1654	1793	1781	0.9116
4000	1673	1126	1127	0.9116
4000	1741	136	135	0.9116
4000	1789	489	649	0.9116
4000	1880	1185	1184	0.9116
5000	1356	408	261	0.9003
5000	1562	287	126	0.9003
5000	1569	1125	1250	0.9003
5000	1591	332	472	0.9003
5000	1618	882	754	0.9003
5000	1659	111	272	0.9003
5000	1827	1196	1335	0.9003
6000	1323	1449	1461	0.8842
6000	1402	605	613	0.8842
6000	1645	1786	1775	0.8842
6000	1649	112	111	0.8842
6000	1670	1126	1001	0.8842
6000	1689	782	772	0.8842
6000	1710	532	521	0.8842
6000	1754	1365	1364	0.8842
6000	1768	718	595	0.8842
6000	1858	304	305	0.8842
7000	1261	1314	1315	0.8650
7000	1310	1606	1721	0.8650
7000	1332	1048	1174	0.8650
7000	1354	54	204	0.8650
7000	1377	381	234	0.8650
7000	1434	91	79	0.8650
7000	1453	385	386	0.8650
7000	1515	911	910	0.8650
7000	1541	1596	1595	0.8650
