#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
10000,36120.88318661973,124.24414150659982,0
20000,35999.657472513616,119.13141244754614,1.07e+04
30000,35960.25320485234,121.71992436821645,1.07e+04
40000,35888.75385726802,118.55375800671949,1.07e+04
50000,35847.41012027487,116.03594981666548,1.07e+04
60000,35921.17457833141,120.82671177996109,1.07e+04
70000,35884.306256931275,122.99169916658958,1.07e+04
80000,36077.08496753499,116.95027081806268,1.06e+04
90000,35959.63992350921,115.65093575714951,1.06e+04
100000,35921.87155408412,119.43550115000511,1.06e+04
110000,35918.41930649057,120.01750459465825,1.06e+04
120000,35883.1877810657,121.56053016868465,1.06e+04
130000,35949.54964862019,118.13692208740775,1.06e+04
140000,35962.363031961024,116.70200617774917,1.06e+04
150000,35946.79891863093,120.88496080828523,1.06e+04
160000,35931.26490964368,118.79228709684604,1.06e+04
170000,35819.97523960471,122.38273335615213,1.06e+04
180000,35956.94210797548,122.01855939796081,1.06e+04
190000,35904.672481585294,118.3551320389126,1.06e+04
200000,35980.38458196819,124.68795426843657,1.06e+04
210000,36062.31625999883,124.7229761999894,1.06e+04
220000,35911.04079278931,115.3085384020423,1.06e+04
230000,35923.73816376552,117.8987863640011,1.06e+04
240000,35928.06757303327,117.64393596997517,1.06e+04
250000,35880.55761861242,120.93543761851538,1.06e+04
260000,35868.729277201,118.15775958409122,1.06e+04
270000,36041.728114806116,117.62557223797386,1.06e+04
280000,35873.86762814596,120.05752375594868,1.06e+04
290000,35812.79867848009,119.1141590311452,1.06e+04
300000,35914.08591929823,118.20436432948205,1.06e+04
