#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
1000,38076.785002052784,2.8737690280937724,0
2000,38076.45961076021,2.430876208231912,3.17e+03
3000,38070.30678349733,2.300802017428866,3.2e+03
4000,38066.63248950243,2.1028609818457644,3.21e+03
5000,38065.07937461138,1.8363942772558781,3.22e+03
6000,38061.62977182865,1.708770101286185,3.22e+03
7000,38059.74396651983,1.5545512017401852,3.22e+03
8000,38058.73450690508,1.3768735678386648,3.22e+03
9000,38057.74245458841,1.2233933615046633,3.23e+03
10000,38056.73347502947,1.087058108235684,3.23e+03
11000,38054.17561656237,1.0476351744715022,3.27e+03
12000,38053.47967034578,0.9346451356989249,3.31e+03
13000,38052.931863844395,0.8382467447744814,3.34e+03
14000,38051.86183321476,0.7749472462291769,3.37e+03
15000,38050.293225467205,0.7468340531096782,3.39e+03
16000,38049.629169642925,0.6987103823237271,3.41e+03
17000,38049.35604649782,0.6389141696875207,3.43e+03
18000,38048.53492158651,0.6135068157461427,3.45e+03
19000,38048.17566764355,0.5685893340633081,3.46e+03
20000,38047.759765803814,0.5367831509227211,3.47e+03
