#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
10.0%,301000,35847.31226987392,3119.5515320682975,122.55293465262069,0
10.1%,302000,35577.07450023666,3030.5913078507233,119.05809366886221,752
10.1%,303000,35293.7834177427,2942.2648402765453,115.58815008965223,759
10.1%,304000,35094.41840028763,2953.5653780470616,116.03209661616188,777
10.2%,305000,34930.04855056852,3083.010490413242,121.11740398609518,789
10.2%,306000,34736.18702310324,3067.5048899061135,120.50825974655768,792
10.2%,307000,34570.373840440065,3023.3899053588066,118.77518344925961,796
10.3%,308000,34316.18294213712,3082.3613315651055,121.09190149925467,803
10.3%,309000,34160.032903179526,3040.9595393911222,119.46541414085047,809
10.3%,310000,33971.92536810413,3095.851346665372,121.62186259207553,819
10.4%,311000,33698.10540610179,3047.637284378748,119.72775224832606,827
10.4%,312000,33467.29254836589,3041.319692564543,119.4795629144397,836
10.4%,313000,33205.13817259669,3045.6094036701106,119.6480860753476,846
10.5%,314000,33135.59274526313,2970.916297351988,116.7137350048471,858
10.5%,315000,32955.56590023823,3014.879302010946,118.44084070632913,868
10.5%,316000,32877.39452487603,2986.7975632250077,117.33763742118148,877
10.6%,317000,32742.229029774666,2966.1105535666265,116.52493927634886,883
10.6%,318000,32558.27727289684,3107.4904776866965,122.07911090126564,888
10.6%,319000,32388.779942005873,3063.295537747468,120.34289352172527,897
10.7%,320000,32199.152670349926,3086.6712723428827,121.26121939160743,906
10.7%,321000,31981.548740971833,3002.97051390712,117.97299880172291,914
10.7%,322000,31779.73367425427,3048.8492724551415,119.77536572545543,923
10.8%,323000,31551.824774563313,3074.1700696451494,120.77010422279382,930
10.8%,324000,31379.149953514338,3008.1067335205025,118.1747774164275,939
10.8%,325000,31302.443037115037,3047.84243578753,119.73581171037884,946
10.9%,326000,31169.417580232024,2948.9007530773897,115.84884480153065,953
10.9%,327000,31027.387818243355,3057.01802946776,120.09627888687282,960
10.9%,328000,30848.49353061989,3045.686432736765,119.65111219563285,966
11.0%,329000,30674.71791878715,3096.468745163267,121.6461173597847,973
11.0%,330000,30611.078370802104,3019.767685261312,118.6328829620446,980
11.0%,331000,30429.9338487871,3064.8067633975948,120.40226267669561,986
11.1%,332000,30318.88917420432,3060.9519312095304,120.25082392263616,993
11.1%,333000,30280.34050561115,3002.4552322592062,117.95275573874562,1e+03
11.1%,334000,30107.694417152554,3084.666733065214,121.182470196866,1.01e+03
11.2%,335000,29991.486841373146,3097.0839046514584,121.67028416702678,1.02e+03
11.2%,336000,29902.308577291667,3062.628760477871,120.31669888755789,1.02e+03
11.2%,337000,29771.88380614668,3026.94985367588,118.91503756257819,1.03e+03
11.3%,338000,29655.560973543674,3031.5018161243534,119.09386338121087,1.04e+03
11.3%,339000,29649.52235725522,3023.1882896501393,118.76726288871902,1.04e+03
11.3%,340000,29523.235773241147,3026.810843783407,118.90957649867423,1.05e+03
11.4%,341000,29399.316296085715,3066.8712200618834,120.48336575195206,1.05e+03
11.4%,342000,29294.90459428355,3070.9434298067918,120.64334427759246,1.06e+03
11.4%,343000,29131.022401805967,3050.328660439598,119.83348412392432,1.07e+03
11.5%,344000,28997.230451276526,3095.862584004063,121.62230405579878,1.08e+03
11.5%,345000,28913.611175611615,3078.4867902198575,120.9396884624089,1.08e+03
11.5%,346000,28971.246892496943,3026.3021681537803,118.8895929559899,1.09e+03
11.6%,347000,28803.028525877744,3120.651235285579,122.59613697037034,1.09e+03
11.6%,348000,28841.955810133368,3060.977506253328,120.25182864932172,1.1e+03
11.6%,349000,28773.22024190426,3053.5678082721497,119.96073545110136,1.11e+03
11.7%,350000,28692.14243248105,3129.8038139999435,122.95569999395045,1.11e+03
11.7%,351000,28524.256862305105,3119.580366881757,122.55406744077095,1.12e+03
11.7%,352000,28628.694126371294,3026.658151695152,118.90357792377603,1.13e+03
11.8%,353000,28550.064396977425,3137.6956672661904,123.26573487161929,1.13e+03
11.8%,354000,28433.40964902565,3107.1548202458443,122.06592445315233,1.14e+03
11.8%,355000,28349.273863585666,3109.2959851652195,122.15004104547246,1.14e+03
11.9%,356000,28178.376949023455,2994.8753454982116,117.65497660051209,1.15e+03
11.9%,357000,28183.961466703564,2954.264165652404,116.05954879024948,1.16e+03
11.9%,358000,28033.958116505295,3033.86879189742,119.1868510508355,1.16e+03
12.0%,359000,28063.986278310418,3035.206592932987,119.23940714462161,1.17e+03
12.0%,360000,27923.93112418428,2988.652035841103,117.41049118205035,1.18e+03
12.0%,361000,27812.7703942582,3081.525533786099,121.05906682108365,1.18e+03
12.1%,362000,27684.101964514703,3021.7199182817576,118.70957728278971,1.19e+03
12.1%,363000,27673.976160088554,2918.4235413430815,114.65153432286951,1.19e+03
12.1%,364000,27598.668047226965,3020.223924344704,118.6508065122723,1.2e+03
12.2%,365000,27517.09836475551,2946.2459059603634,115.74454798133036,1.21e+03
12.2%,366000,27510.975867159665,3080.944372347143,121.03623564194818,1.22e+03
12.2%,367000,27510.84772309661,3046.7913903034714,119.69452093277806,1.22e+03
12.3%,368000,27430.8792013824,3075.211452094726,120.81101538389484,1.23e+03
12.3%,369000,27405.94896734506,3056.0037273317603,120.0564315876334,1.24e+03
12.3%,370000,27228.62294105068,3098.167852208805,121.71286751684383,1.24e+03
12.4%,371000,27266.192899730057,3098.8858967499455,121.74107620800454,1.25e+03
