#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
10.0%,301000,35847.31226987392,3119.5515320682975,122.55293465262069,0
10.1%,302000,35875.846893399954,3005.3184331377624,118.065237826815,8.79e+03
10.1%,303000,35924.27952139266,3035.064133437775,119.23381056157824,8.85e+03
10.1%,304000,35968.15252393484,3147.1306713971926,123.63639310015873,9.12e+03
10.2%,305000,36003.22917385399,3040.2021995141504,119.43566171538218,9.32e+03
10.2%,306000,35995.30234894529,3009.4310529241466,118.22680387845756,9.44e+03
10.2%,307000,35827.244031840935,3135.2516557692943,123.16972082017942,9.53e+03
10.3%,308000,35858.267698191106,3092.4188684090577,121.48701619536806,9.59e+03
10.3%,309000,35995.96105977893,3021.220552782077,118.68995949259744,9.63e+03
10.3%,310000,36036.44685313478,3041.279646782685,119.47798969853457,9.67e+03
10.4%,311000,36035.289366312325,3027.3765553324743,118.93180072218597,9.7e+03
10.4%,312000,35944.40924533084,3189.7947828124034,125.31247121732767,9.72e+03
10.4%,313000,36029.115075798705,3063.043329786992,120.33298542263431,9.74e+03
10.5%,314000,35956.86456358433,3131.2666657223754,123.01316875819516,9.74e+03
10.5%,315000,35931.436805814505,3010.5216034630835,118.2696466292696,9.75e+03
10.5%,316000,35946.58452901617,3016.899839845729,118.52021841132414,9.76e+03
10.6%,317000,35991.43756688759,2962.0511348566574,116.36546325206255,9.77e+03
10.6%,318000,35912.4729902111,2919.0844566450965,114.67749866709852,9.78e+03
10.6%,319000,35923.810856524855,2885.5333329798063,113.35942822530392,9.78e+03
10.7%,320000,35836.768310744315,2990.65836001353,117.48931049715632,9.79e+03
10.7%,321000,35871.852614976466,3005.6740078505886,118.07920673359443,9.79e+03
10.7%,322000,35861.471823412925,2966.1227251728733,116.52541744317817,9.79e+03
10.8%,323000,35915.34020664543,2896.739349185972,113.79966143117113,9.79e+03
10.8%,324000,35851.25697573647,2965.466138112216,116.49962313578773,9.8e+03
10.8%,325000,35900.885940648615,2936.818102708658,115.37417264245657,9.8e+03
10.9%,326000,35923.65932261199,2902.4164814382516,114.02269003344801,9.8e+03
10.9%,327000,35854.28449241817,2940.0426803771634,115.50085157442108,9.81e+03
10.9%,328000,35763.04477587715,3026.044540131974,118.87947192743931,9.81e+03
11.0%,329000,35751.26424996555,3080.8524687336662,121.03262516864105,9.81e+03
11.0%,330000,35829.87564698979,2982.575586692011,117.17177524232842,9.81e+03
11.0%,331000,35881.33273494057,3024.3991218907117,118.81483095833694,9.82e+03
11.1%,332000,35995.419337892905,2939.160607696018,115.46619896665356,9.82e+03
11.1%,333000,35918.8854760658,3048.4733284008225,119.7605966002628,9.82e+03
