step	bond_idx	atom_i	atom_j	S(t)
1000	39358	40363	41630	0.9824
1000	39362	14957	14958	0.9824
1000	39431	18549	18548	0.9824
1000	39435	17237	18613	0.9824
1000	39452	36621	35364	0.9824
1000	39498	35280	35252	0.9824
1000	39527	19312	17913	0.9824
1000	39535	34914	34941	0.9824
1000	39572	22681	22713	0.9824
1000	39609	7637	6357	0.9824
1000	39635	6294	6314	0.9824
1000	39657	49180	49201	0.9824
1000	39747	34161	34162	0.9824
1000	39857	52229	52230	0.9824
1000	39910	29842	29815	0.9824
1000	39953	23867	23866	0.9824
1000	40006	40452	40476	0.9824
1000	40080	8815	8814	0.9824
1000	40131	27385	27386	0.9824
1000	40133	10565	10564	0.9824
1000	40208	50655	49394	0.9824
1000	40313	22080	22081	0.9824
1000	40315	18100	16775	0.9824
1000	40357	34278	34277	0.9824
1000	40482	45200	45179	0.9824
1000	40506	35335	35316	0.9824
1000	40597	50954	50916	0.9824
1000	40604	40952	40917	0.9824
1000	40684	36059	36060	0.9824
1000	40686	7242	5921	0.9824
1000	40746	27043	27082	0.9824
1000	40855	21561	22823	0.9824
1000	41006	36565	37845	0.9824
1000	41034	6404	5112	0.9824
1000	41089	54747	53483	0.9824
1000	41163	4519	4520	0.9824
1000	41245	30820	30797	0.9824
1000	41273	31594	30359	0.9824
1000	41277	9513	10835	0.9824
1000	41312	28288	28287	0.9824
1000	41325	17843	16512	0.9824
1000	41340	53074	53075	0.9824
1000	41451	54338	53069	0.9824
1000	41452	48163	48145	0.9824
1000	41487	20839	22122	0.9824
1000	41507	34617	34642	0.9824
1000	41562	37610	37644	0.9824
1000	41593	5539	4217	0.9824
1000	41617	16264	16265	0.9824
1000	41638	13448	13447	0.9824
1000	41663	28875	28874	0.9824
1000	41710	43022	44305	0.9824
1000	41736	46964	46963	0.9824
1000	41778	16769	15416	0.9824
1000	41924	6102	7408	0.9824
1000	42043	3050	3084	0.9824
1000	42217	28717	27421	0.9824
1000	42231	54895	54924	0.9824
1000	42256	56283	56284	0.9824
1000	42260	43942	42647	0.9824
1000	42333	52415	51191	0.9824
1000	42355	20373	20403	0.9824
1000	42499	38690	38689	0.9824
1000	42556	37628	36350	0.9824
1000	42702	38295	38261	0.9824
1000	42749	43414	42097	0.9824
1000	42786	53619	54892	0.9824
1000	42864	51019	50995	0.9824
1000	42956	4896	3580	0.9824
1000	43031	33053	33052	0.9824
1000	43040	39348	38025	0.9824
1000	43097	10374	11677	0.9824
1000	43114	29962	29961	0.9824
1000	43119	43239	43273	0.9824
1000	43128	46812	46837	0.9824
1000	43165	55586	55585	0.9824
1000	43173	16683	15337	0.9824
1000	43230	48146	48120	0.9824
1000	43298	47364	46174	0.9824
1000	43391	44779	44778	0.9824
1000	43409	32886	32887	0.9824
1000	43430	42615	42614	0.9824
1000	43434	8746	8747	0.9824
1000	43471	8733	10030	0.9824
1000	43473	1625	1603	0.9824
1000	43474	2911	1702	0.9824
1000	43478	48673	48672	0.9824
1000	43510	29036	29035	0.9824
1000	43581	42639	42638	0.9824
1000	43617	53306	54592	0.9824
1000	43632	24481	24442	0.9824
1000	44003	19938	19937	0.9824
1000	44010	3084	3085	0.9824
1000	44155	13496	13522	0.9824
1000	44174	48716	48690	0.9824
1000	44220	41940	41911	0.9824
1000	44222	41941	43236	0.9824
1000	44251	46539	46538	0.9824
1000	44316	50460	49251	0.9824
1000	44448	36957	36956	0.9824
1000	44461	38415	37113	0.9824
1000	44488	11975	10676	0.9824
1000	44534	9045	9079	0.9824
1000	44821	50748	50772	0.9824
1000	44848	22517	22542	0.9824
1000	44924	12164	12134	0.9824
1000	44944	6032	7352	0.9824
1000	45033	54104	52838	0.9824
1000	45065	35912	37199	0.9824
1000	45120	48982	49010	0.9824
1000	45165	44429	44409	0.9824
1000	45223	52878	54149	0.9824
1000	45326	6742	6743	0.9824
1000	45354	9825	9826	0.9824
1000	45355	11158	11184	0.9824
1000	45375	20019	19988	0.9824
1000	45389	34087	34088	0.9824
1000	45498	2453	2432	0.9824
1000	45543	37468	36162	0.9824
1000	45552	4949	4950	0.9824
1000	45582	28686	29976	0.9824
1000	45592	23729	23697	0.9824
1000	45772	40842	40814	0.9824
1000	45807	15509	15543	0.9824
1000	45856	38816	38815	0.9824
1000	45898	23152	23153	0.9824
1000	45959	12334	12299	0.9824
1000	46127	15183	15182	0.9824
1000	46142	8897	8873	0.9824
1000	46154	51493	51473	0.9824
1000	46167	37803	37802	0.9824
1000	46182	47844	47845	0.9824
1000	46201	18188	19544	0.9824
1000	46237	37205	37236	0.9824
1000	46260	42584	42583	0.9824
1000	46285	7704	6422	0.9824
1000	46334	14122	14123	0.9824
1000	46410	6296	6295	0.9824
1000	46552	2106	2083	0.9824
1000	46643	54336	54361	0.9824
1000	46696	21579	21578	0.9824
1000	46796	27021	27059	0.9824
1000	46804	56094	56095	0.9824
1000	46902	6573	6574	0.9824
1000	46926	24839	23590	0.9824
1000	47031	34143	34144	0.9824
1000	47033	34170	34141	0.9824
1000	47066	32359	32360	0.9824
1000	47096	20566	19241	0.9824
1000	47140	21070	21041	0.9824
1000	47164	36764	36792	0.9824
1000	47240	38050	38049	0.9824
1000	47246	474	496	0.9824
1000	47330	44586	44553	0.9824
1000	47342	31143	31168	0.9824
1000	47431	37835	37834	0.9824
1000	47536	20405	20433	0.9824
1000	47577	2502	2503	0.9824
1000	47618	7509	7508	0.9824
1000	47631	40839	40838	0.9824
1000	47676	13328	13329	0.9824
1000	47703	10870	10871	0.9824
1000	47730	381	407	0.9824
1000	47775	10861	9545	0.9824
1000	47857	53302	53301	0.9824
1000	48011	41730	40453	0.9824
1000	48093	2377	3620	0.9824
1000	48102	48946	50153	0.9824
1000	48133	44926	44951	0.9824
1000	48222	15727	15728	0.9824
1000	48327	36774	35491	0.9824
1000	48355	44683	44684	0.9824
1000	48438	42896	42895	0.9824
1000	48502	20775	22057	0.9824
1000	48539	11776	11805	0.9824
1000	48681	34368	34369	0.9824
1000	48771	44199	44200	0.9824
1000	48803	31655	31656	0.9824
