#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
10000,1143015.170236947,119.16542616000409,0
20000,1141255.642929349,119.28574661531222,51.9
30000,1140603.6672665942,119.49217397839213,51.8
40000,1140285.5549175683,119.78715588484668,51.9
50000,1140694.7102878466,118.9549353353707,51.9
60000,1141001.6790899578,119.87449220777778,51.9
70000,1140515.6937563792,119.0289667680557,51.9
80000,1140334.419278143,119.31868672272607,51.9
90000,1140075.3369385637,119.52421525056498,51.9
100000,1140386.1495667603,119.57906481780248,51.9
110000,1140030.6842069272,119.39003665325673,51.9
120000,1139891.1339455526,119.74360490887567,51.9
130000,1140050.4550345354,120.08760428311699,51.9
140000,1139813.7429828085,118.70497470153468,51.9
150000,1140108.8721826114,119.29484225084015,51.9
160000,1139444.6681300942,120.39501090558582,51.9
170000,1139870.0145137142,119.63050528554243,51.9
180000,1139427.217721505,120.0434111998646,51.9
190000,1140461.0832178518,119.71779942542271,51.9
200000,1139896.5618888736,119.72056844687918,51.9
210000,1139697.9715187103,120.0080574222036,51.9
220000,1139507.8989887498,119.58854548966194,51.9
230000,1139944.6405242886,120.33462122836939,51.9
240000,1139203.1360249855,119.3739748526939,51.9
250000,1139886.174979603,119.31394001340033,51.9
260000,1139163.6437833738,119.82492361201531,51.9
270000,1139274.0618872903,119.76920942241262,51.9
280000,1139191.1177968066,119.04120278340757,51.9
290000,1139238.2317529283,119.11833314776243,51.9
300000,1139300.3041441515,119.72356372767156,51.9
