#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
21000,1204844.045233965,0.703491554640755,0
22000,1204831.2858540416,0.6808485101564382,22.6
23000,1204821.9542934299,0.6616099557451233,22.5
24000,1204812.1898894906,0.648016919723128,22.4
25000,1204804.8088833094,0.6329781524559529,22.3
26000,1204799.6621183157,0.6230592328110167,22.3
27000,1204794.668507874,0.6154624438315869,22.2
28000,1204790.950862527,0.6109326437775019,22.2
29000,1204787.3708031774,0.6050443658107661,22.1
30000,1204783.5383950472,0.6025721926334282,22.1
31000,1204781.8821396232,0.5983274166183659,22.1
32000,1204779.26335001,0.5971274711555911,22.1
33000,1204777.1422632337,0.5974289213751489,22
34000,1204776.3841747642,0.5970186320924636,22
35000,1204774.614082098,0.6017542210293736,22
36000,1204774.926992476,0.6020991517586315,22
37000,1204774.5024933815,0.6011184584746538,22
38000,1204772.8502821326,0.6024020375141105,22
39000,1204775.1475231647,0.5993645185674422,22
40000,1204772.4475963712,0.6007135967592268,21.9
