#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
10.0%,301000,1138589.3776239809,95966.50758785804,119.58946969437054,0
10.1%,302000,1132340.1285860278,95876.62107692516,119.47745686358894,0.841
10.1%,303000,1124839.3193649407,95987.30923381392,119.61539184024375,0.844
10.1%,304000,1117471.8017289154,96063.81736806905,119.71073309452977,0.853
10.2%,305000,1109801.874114694,96159.9239368705,119.83049710268219,0.859
10.2%,306000,1103660.4449444134,95814.43661300506,119.39996517143139,0.864
10.2%,307000,1097480.2751303986,96266.84192384206,119.96373385041954,0.87
10.3%,308000,1090865.9638708364,96493.19330486126,120.24580352557045,0.876
10.3%,309000,1084503.0314360913,96291.47621602745,119.99443208059166,0.883
10.3%,310000,1077193.8981693033,96788.80611041313,120.61418390680343,0.889
10.4%,311000,1071298.9597942214,96168.6127673386,119.84132476176933,0.896
10.4%,312000,1065070.5221251883,96996.09181217472,120.87249472556695,0.903
10.4%,313000,1060153.2542109266,95859.3262789378,119.45590480577455,0.91
10.5%,314000,1054276.1090679877,96495.73731763435,120.2489737684612,0.917
10.5%,315000,1048654.7472914066,95990.76986296788,119.61970433233846,0.924
10.5%,316000,1043250.0769312456,95824.79214327328,119.41286980247725,0.931
10.6%,317000,1037865.4169257171,96084.7421306059,119.73680866316471,0.938
10.6%,318000,1032876.8903717082,95696.52729102816,119.2530314792333,0.945
10.6%,319000,1026971.5955894776,95874.96229973315,119.47538976445487,0.952
10.7%,320000,1021719.8103718664,96207.14718639357,119.88934475182205,0.958
10.7%,321000,1017330.9175372943,95874.91770610347,119.4753341937286,0.965
10.7%,322000,1013116.0737190153,96200.27091437395,119.88077582767373,0.972
10.8%,323000,1007440.8485919312,96382.4624377533,120.10781532521716,0.978
10.8%,324000,1003168.7318355441,96375.39344360396,120.09900623876773,0.985
10.8%,325000,998079.5785769466,96014.80341743471,119.6496539481555,0.992
10.9%,326000,994083.9669235498,96440.65614553577,120.18033390308543,0.999
10.9%,327000,988973.5143773519,95970.51050411543,119.59445796209523,1.01
10.9%,328000,984387.3084361032,96434.26400097221,120.17236827843386,1.01
11.0%,329000,980097.4443928022,96265.85228576911,119.96250060462047,1.02
11.0%,330000,975969.4965923149,96343.70910988978,120.05952254011349,1.03
11.0%,331000,972081.4168021381,95947.50316669507,119.56578717527243,1.04
11.1%,332000,967931.9638008382,96259.15438650454,119.95415396117944,1.04
11.1%,333000,963891.2905993555,95878.12435638392,119.47933018791629,1.05
11.1%,334000,960250.8176785801,96095.00871553742,119.74960245423196,1.06
11.2%,335000,955688.0845871549,96401.64121665143,120.13171512167182,1.06
