#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
10.0%,301000,1138589.3776239809,95966.50758785804,119.58946969437054,0
10.1%,302000,1138892.1813442744,95596.47449458009,119.12834984634476,54.7
10.1%,303000,1138412.0776090045,95844.34683554413,119.43723804653953,54.5
10.1%,304000,1138648.3423088249,95680.07815111607,119.2325332453342,54.2
10.2%,305000,1138730.686555149,95918.1775685655,119.5292428347839,53.8
10.2%,306000,1139337.9543132354,95705.48247581102,119.26419105798755,53.6
10.2%,307000,1138882.0280468687,95555.5843820904,119.07739428912696,53.3
10.3%,308000,1139037.051057022,95022.27301212167,118.41280384481858,53.2
10.3%,309000,1138832.150328001,96073.91337691256,119.72331432077185,53
10.3%,310000,1139091.2922861986,95795.10740692816,119.3758779188841,52.8
10.4%,311000,1139469.2925093006,95910.59081078877,119.5197885328402,52.7
10.4%,312000,1139086.381678382,96152.97649855791,119.82183949405997,52.6
10.4%,313000,1138813.8762755617,96126.16211101897,119.78842451974693,52.5
10.5%,314000,1138944.3554545324,95714.78013452473,119.27577741350802,52.4
10.5%,315000,1138999.7573094033,96057.2645069196,119.70256719155445,52.4
10.5%,316000,1139301.4702780116,96133.70828904692,119.79782825289575,52.3
10.6%,317000,1139460.2721324284,96102.71454465791,119.75920513793108,52.2
10.6%,318000,1139605.1945739407,95934.1437537339,119.5491392305716,52.2
10.6%,319000,1139169.6094158553,96012.7860828017,119.64714002965391,52.1
10.7%,320000,1139122.0016491935,96235.10632403304,119.92418626609052,52.1
10.7%,321000,1139433.2313909605,95693.36842944681,119.24909503733448,52
10.7%,322000,1139023.8776699156,95797.3805307638,119.37871059124956,52
10.8%,323000,1138967.434538642,95654.44468445424,119.20058988549367,52
10.8%,324000,1139721.622239124,95624.5775961388,119.1633707624607,51.9
10.8%,325000,1139458.5905035827,95764.55046326685,119.33779912681602,51.9
10.9%,326000,1139440.7768801488,95912.85168781763,119.52260594374451,51.9
10.9%,327000,1139913.0702718608,96094.89506853532,119.7494608320655,51.9
10.9%,328000,1139750.6105895434,96539.44585357569,120.30344152774228,51.8
11.0%,329000,1140003.375329256,95863.45686787882,119.46105217388659,51.8
11.0%,330000,1139597.584623307,96218.20519730753,119.9031247850265,51.8
11.0%,331000,1139258.0118766446,96207.3096453953,119.88954720147197,51.8
11.1%,332000,1139793.8499431275,95793.99351978613,119.37448983906374,51.8
11.1%,333000,1139442.5496978033,96520.21305143737,120.279474409773,51.8
11.1%,334000,1139145.7513465807,96902.64233966879,120.75604188028683,51.8
11.2%,335000,1139086.160746796,96087.52900080485,119.74028154487705,51.8
11.2%,336000,1138864.619493883,95776.14477797084,119.3522474794942,51.7
11.2%,337000,1138799.5179480985,95624.40904355577,119.16316071924327,51.7
11.3%,338000,1139249.6359099466,95715.33931358925,119.27647423919724,51.7
11.3%,339000,1139600.397198515,95399.2763821094,118.88260976172711,51.7
11.3%,340000,1139616.2698633708,95410.63196858735,118.89676062122071,51.7
11.4%,341000,1139261.5037501678,95945.77620899167,119.56363511242128,51.7
11.4%,342000,1138529.4691097457,96055.81442517339,119.70076016000353,51.7
11.4%,343000,1138687.7867323458,96084.49108049221,119.73649581495634,51.7
11.5%,344000,1138895.8835528158,96192.30126796244,119.87084438584094,51.7
11.5%,345000,1138775.548591772,96279.08271852166,119.97898781955071,51.7
11.5%,346000,1138926.5860950574,96111.32061559093,119.76992966552827,51.7
11.6%,347000,1139355.576794317,95476.07837942647,118.97831721593668,51.7
11.6%,348000,1139138.5816517137,96210.65786329264,119.89371961133483,51.7
11.6%,349000,1139094.6550099645,96226.36828361466,119.9132972836104,51.7
11.7%,350000,1139675.9619676434,95543.71211395533,119.06259956244546,51.7
11.7%,351000,1139513.822189223,95926.72100772946,119.53988931327588,51.7
11.7%,352000,1138945.695427915,96434.9215838272,120.1731877308333,51.7
11.8%,353000,1139093.5285616238,95666.58849590972,119.21572299816529,51.7
11.8%,354000,1139148.8320703823,95843.54980162103,119.43624481601998,51.7
11.8%,355000,1139180.887371529,95991.63919222017,119.6207876542899,51.6
11.9%,356000,1139394.9088461902,96028.87652294003,119.66719126681632,51.6
11.9%,357000,1139503.6644547824,96072.89500086263,119.72204526290132,51.6
11.9%,358000,1139182.5934119076,96449.20525364074,120.19098744597586,51.6
12.0%,359000,1139376.672155166,96156.5118453966,119.82624509622526,51.6
12.0%,360000,1139939.7314568292,95932.48360477512,119.54707042199885,51.6
12.0%,361000,1139612.8704932276,96261.5479163193,119.95713667846738,51.6
12.1%,362000,1139308.5765778814,96319.40775931912,120.02923920793178,51.6
12.1%,363000,1139828.142888561,95882.2534330053,119.4844756714385,51.6
12.1%,364000,1139297.6803582963,95949.23852491862,119.56794970650235,51.6
12.2%,365000,1138963.4366557524,96060.76087241867,119.70692421679587,51.6
12.2%,366000,1138986.9712577742,95851.87674526186,119.44662150679693,51.6
12.2%,367000,1138727.1376945656,95655.6098679754,119.20204188872789,51.6
12.3%,368000,1138920.7279049195,95561.17784646293,119.08436463174836,51.6
12.3%,369000,1139164.8736389838,95820.33110581705,119.4073106431717,51.6
12.3%,370000,1138899.9290374853,96526.21447199088,120.28695313041676,51.6
